台風番号,種別,年月日,曜日,都道府県,時間
198906,上陸,1989-06-24,土,鹿児島,05:30
198911,上陸,1989-07-27,木,鹿児島,23:40
198913,上陸,1989-08-06,日,千葉,15:00
198917,上陸,1989-08-27,日,高知,09:00
198917,再上陸,1989-08-27,日,大阪,15:00
198917,再上陸,1989-08-28,月,秋田・青森,05:00
198917,再上陸,1989-08-28,月,北海道,08:00
198917,再上陸,1989-08-28,月,北海道,14:00
198922,上陸,1989-09-19,火,鹿児島,13:30
198922,再上陸,1989-09-20,水,静岡,03:30
198922,再上陸,1989-09-20,水,千葉,05:00
199011,上陸,1990-08-10,金,静岡,07:00
199011,通過,1990-08-11,土,北海道,12:00
199014,上陸,1990-08-22,水,広島,13:00
199019,上陸,1990-09-19,水,和歌山,20:00
199020,通過,1990-09-29,土,宮崎,17:00
199020,上陸,1990-09-30,日,和歌山,09:30
199020,再上陸,1990-09-30,日,愛知,15:00
199021,上陸,1990-10-08,月,和歌山,10:00
199028,上陸,1990-11-30,金,和歌山,14:00
199114,上陸,1991-08-31,土,静岡,02:00
199117,通過,1991-09-13,金,沖縄,06:00
199117,上陸,1991-09-14,土,長崎,05:00
199117,再上陸,1991-09-14,土,山口,09:00
199117,再上陸,1991-09-14,土,新潟,20:00
199119,上陸,1991-09-27,金,長崎,16:00
199119,再上陸,1991-09-28,土,北海道,08:00
199209,上陸,1992-08-04,火,高知,13:00
199209,再上陸,1992-08-04,火,福岡,19:00
199210,通過,1992-08-07,金,鹿児島,16:00
199210,上陸,1992-08-08,土,熊本,09:00
199210,再上陸,1992-08-08,土,山口,13:00
199211,上陸,1992-08-18,火,宮崎・大,21:00
199211,再上陸,1992-08-19,水,山口,02:00
199304,上陸,1993-07-25,日,徳島,02:00
199304,再上陸,1993-07-25,日,岡山,05:00
199305,上陸,1993-07-27,火,鹿児島,11:00
199305,再上陸,1993-07-27,火,山口,17:00
199306,通過,1993-07-29,木,沖縄,09:00
199306,上陸,1993-07-29,木,長崎,24:00:00
199311,通過,1993-08-27,金,千葉,16:00
199311,上陸,1993-08-28,土,北海道,11:00
199313,通過,1993-09-02,木,沖縄,07:00
199313,上陸,1993-09-03,金,鹿児島,16:00
199313,再上陸,1993-09-03,金,愛媛,23:00
199313,再上陸,1993-09-04,土,広島,01:00
199314,上陸,1993-09-09,木,和歌山,06:00
199407,上陸,1994-07-25,月,高知,14:00
199407,通過,1994-07-25,月,愛媛,18:00
199407,通過,1994-07-25,月,大,21:00
199407,通過,1994-07-26,火,福岡,03:00
199411,上陸,1994-08-02,火,青森,22:00
199426,上陸,1994-09-29,木,和歌山,19:00
199514,通過,1995-09-23,土,沖縄,00:00
199514,上陸,1995-09-24,日,鹿児島,00:00
199514,再上陸,1995-09-24,日,山口,04:00
199606,通過,1996-07-18,木,鹿児島,08:00
199606,上陸,1996-07-18,木,鹿児島,13:00
199612,通過,1996-08-12,月,沖縄,15:00
199612,上陸,1996-08-14,水,熊本,10:00
199612,再上陸,1996-08-14,水,山口,15:00
199612,通過,1996-08-15,木,新潟,06:00
199612,再上陸,1996-08-15,木,新潟,09:00
199707,通過,1997-06-20,金,三重,10:00
199707,上陸,1997-06-20,金,愛知,11:00
199708,上陸,1997-06-28,土,長崎,09:00
199708,再上陸,1997-06-28,土,岡山,17:00
199709,上陸,1997-07-26,土,徳島,17:00
199709,再上陸,1997-07-26,土,岡山,21:00
199719,上陸,1997-09-16,火,鹿児島,08:00
199719,再上陸,1997-09-17,水,岡山,00:00
199805,上陸,1998-09-16,水,静岡,04:00
199805,再上陸,1998-09-16,水,北海道,20:00
199807,上陸,1998-09-22,火,和歌山,13:00
199807,再上陸,1998-09-22,火,山形,22:00
199808,上陸,1998-09-21,月,和歌山,16:00
199810,上陸,1998-10-17,土,鹿児島,16:00
199810,再上陸,1998-10-17,土,高知,21:00
199810,再上陸,1998-10-17,土,岡山,23:00
199916,上陸,1999-09-14,火,宮崎,17:00
199916,再上陸,1999-09-15,水,愛媛,03:00
199916,再上陸,1999-09-15,水,兵庫,10:00
199918,通過,1999-09-24,金,熊本,05:00
199918,上陸,1999-09-24,金,熊本,06:00
199918,再上陸,1999-09-24,金,山口,09:00
199918,再上陸,1999-09-25,土,北海道,02:00
199918,再上陸,1999-09-25,土,北海道,09:00
200111,上陸,2001-08-21,火,和歌山,19:00
200111,通過,2001-08-22,水,三重,04:00
200111,再上陸,2001-08-22,水,静岡,12:00
200111,再上陸,2001-08-22,水,神奈川,14:00
200111,再上陸,2001-08-22,水,千葉,15:00
200115,上陸,2001-09-11,火,神奈川,09:00
200206,上陸,2002-07-11,木,千葉,00:00
200206,再上陸,2002-07-11,木,北海道,21:00
200207,通過,2002-07-14,日,沖縄,21:00
200207,上陸,2002-07-16,火,静岡,09:00
200207,再上陸,2002-07-16,火,千葉,11:00
200207,通過,2002-07-16,火,千葉,12:00
200221,通過,2002-10-01,火,神奈川,20:00
200221,上陸,2002-10-01,火,神奈川,20:00
200221,再上陸,2002-10-02,水,北海道,06:00
200304,上陸,2003-05-31,土,愛媛,06:00
200310,通過,2003-08-07,木,沖縄,09:00
200310,通過,2003-08-07,木,鹿児島,19:00
200310,上陸,2003-08-08,金,高知,22:00
200310,通過,2003-08-09,土,兵庫,03:00
200310,再上陸,2003-08-09,土,兵庫,06:00
200310,再上陸,2003-08-10,日,北海道,01:00
200404,上陸,2004-06-11,金,高知,16:00
200406,上陸,2004-06-21,月,高知,09:00
200406,再上陸,2004-06-21,月,兵庫,13:00
200410,上陸,2004-07-31,土,高知,16:00
200410,再上陸,2004-07-31,土,山口,21:00
200411,上陸,2004-08-04,水,徳島,22:00
200411,再上陸,2004-08-05,木,兵庫,01:00
200415,上陸,2004-08-20,金,青森,06:00
200415,通過,2004-08-20,金,青森,08:00
200416,上陸,2004-08-30,月,鹿児島,10:00
200416,再上陸,2004-08-30,月,山口,17:00
200416,再上陸,2004-08-31,火,北海道,12:00
200416,再上陸,2004-08-31,火,北海道,12:00
200418,通過,2004-09-05,日,沖縄,17:00
200418,上陸,2004-09-07,火,長崎,09:00
200421,上陸,2004-09-29,水,鹿児島,08:00
200421,再上陸,2004-09-29,水,高知,15:00
200421,再上陸,2004-09-29,水,大阪,20:00
200422,上陸,2004-10-09,土,静岡,16:00
200422,通過,2004-10-09,土,神奈川,17:00
200422,再上陸,2004-10-09,土,千葉,18:00
200423,上陸,2004-10-20,水,高知,13:00
200423,再上陸,2004-10-20,水,高知,15:00
200423,再上陸,2004-10-20,水,大阪,18:00
200507,上陸,2005-07-26,火,千葉,20:00
200511,通過,2005-08-26,金,神奈川,02:00
200511,上陸,2005-08-26,金,千葉,04:00
200514,通過,2005-09-06,火,熊本,13:00
200514,上陸,2005-09-06,火,長崎,14:00
200514,再上陸,2005-09-08,木,北海道,04:00
200610,上陸,2006-08-18,金,宮崎,01:00
200613,通過,2006-09-16,土,沖縄,05:00
200613,上陸,2006-09-17,日,長崎,18:00
200704,通過,2007-07-14,土,鹿児島,13:00
200704,上陸,2007-07-14,土,鹿児島,14:00
200704,再上陸,2007-07-14,土,高知,21:00
200704,再上陸,2007-07-15,日,和歌山,05:00
200705,上陸,2007-08-02,木,宮崎,18:00
200705,再上陸,2007-08-03,金,山口,01:00
200705,再上陸,2007-08-04,土,青森,13:00
200705,再上陸,2007-08-04,土,青森,14:00
200709,上陸,2007-09-07,金,静岡,00:00
200709,再上陸,2007-09-08,土,北海道,01:00
200709,再上陸,2007-09-08,土,北海道,03:00
200918,上陸,2009-10-08,木,愛知,05:00
201004,上陸,2010-08-12,木,秋田,17:00
201009,通過,2010-09-07,火,長崎,11:00
201009,上陸,2010-09-08,水,福井,11:00
201106,上陸,2011-07-19,火,徳島,23:00
201106,再上陸,2011-07-20,水,和歌山,10:00
201112,上陸,2011-09-03,土,高知,10:00
201112,再上陸,2011-09-03,土,岡山,18:00
201115,上陸,2011-09-21,水,静岡,14:00
201204,上陸,2012-06-19,火,和歌山,17:00
201204,再上陸,2012-06-19,火,愛知,20:00
201217,上陸,2012-09-30,日,和歌山,15:00
201217,再上陸,2012-09-30,日,三重,17:00
201217,再上陸,2012-09-30,日,愛知,19:00
201317,上陸,2013-09-04,水,鹿児島,03:00
201318,上陸,2013-09-16,月,愛知,08:00
201408,上陸,2014-07-10,木,鹿児島,07:00
201408,再上陸,2014-07-10,木,和歌山,18:00
201408,通過,2014-07-11,金,静岡,02:00
201408,再上陸,2014-07-11,金,千葉,05:00
201411,上陸,2014-08-10,日,高知,06:00
201411,再上陸,2014-08-10,日,兵庫,11:00
201418,上陸,2014-10-06,月,静岡,08:00
201418,再上陸,2014-10-06,月,静岡,09:00
201419,通過,2014-10-12,日,沖縄,00:00
201419,上陸,2014-10-13,月,鹿児島,08:00
201419,再上陸,2014-10-13,月,高知,14:00
201419,通過,2014-10-13,月,兵庫,19:00
201419,再上陸,2014-10-13,月,大阪,20:00
201511,上陸,2015-07-16,木,高知,23:00
201511,再上陸,2015-07-17,金,岡山,06:00
201512,通過,2015-07-26,日,長崎,18:00
201512,上陸,2015-07-26,日,長崎,19:00
201515,上陸,2015-08-23,日,沖縄,19:00
201515,通過,2015-08-25,火,鹿児島,04:00
201515,通過,2015-08-25,火,熊本,05:00
201515,上陸,2015-08-25,火,熊本,06:00
201518,通過,2015-09-09,水,愛知,09:00
201518,上陸,2015-09-09,水,愛知,09:00
201606,通過,2016-08-15,月,北海道,08:00
201607,上陸,2016-08-17,水,北海道,17:00
201609,上陸,2016-08-22,月,千葉,12:00
201609,再上陸,2016-08-23,火,北海道,06:00
201610,上陸,2016-08-30,火,岩手,17:00
201611,上陸,2016-08-21,日,北海道,23:00
201612,上陸,2016-09-05,月,長崎,01:00
201616,上陸,2016-09-20,火,鹿児島,00:00
201616,通過,2016-09-20,火,高知,11:00
201616,再上陸,2016-09-20,火,和歌山,13:00
201616,再上陸,2016-09-20,火,愛知,17:00
201703,上陸,2017-07-04,火,長崎,08:00
201703,再上陸,2017-07-04,火,愛媛,12:00
201703,再上陸,2017-07-04,火,和歌山,17:00
201705,通過,2017-08-06,日,鹿児島,02:00
201705,通過,2017-08-06,日,鹿児島,09:00
201705,通過,2017-08-07,月,高知,10:00
201705,上陸,2017-08-07,月,和歌山,15:00
201718,上陸,2017-09-17,日,鹿児島,11:00
201718,上陸,2017-09-17,日,鹿児島,12:00
201718,再上陸,2017-09-17,日,高知,16:00
201718,再上陸,2017-09-17,日,兵庫,22:00
201721,上陸,2017-10-23,月,静岡,03:00
201722,通過,2017-10-28,土,沖縄,14:00
201810,通過,2018-07-21,土,沖縄,08:00
201812,上陸,2018-07-29,日,三重,01:00
201812,再上陸,2018-07-29,日,福岡,18:00
201812,通過,2018-07-29,日,長崎,23:00
201815,上陸,2018-08-15,水,宮崎,02:00
201820,上陸,2018-08-23,木,徳島,21:00
201820,再上陸,2018-08-23,木,兵庫,23:00
201821,上陸,2018-09-04,火,徳島,12:00
201821,再上陸,2018-09-04,火,兵庫,14:00
201824,上陸,2018-09-30,日,和歌山,20:00
201906,上陸,2019-07-27,土,三重,07:00
201908,上陸,2019-08-06,火,宮崎,05:00
201910,上陸,2019-08-15,木,広島,15:00
201915,上陸,2019-09-09,月,千葉,05:00
201919,上陸,2019-10-12,土,静岡,19:00
202108,上陸,2021-07-28,水,宮城,06:00
202109,上陸,2021-08-08,日,鹿児島,20:00
202109,再上陸,2021-08-09,月,広島,05:00
202114,上陸,2021-09-17,金,福岡県,19:00
202114,再上陸,2021-09-18,土,愛媛,00:00
202114,再上陸,2021-09-18,土,和歌山県,06:00